location,population,infection_count,infected_population_percentage
Pakistan,225199929,1529471,0.679161404
Algeria,44616626,265828,0.595804802
Kenya,54985702,324071,0.589373216
Ghana,31732128,161325,0.508396411
Senegal,17196308,86051,0.500403924
Egypt,104258327,515645,0.494583996
Papua New Guinea,9119005,44394,0.486829429
Gambia,2486937,11999,0.48248106
Afghanistan,39835428,179328,0.450172143
Cameroon,27224262,119780,0.439975196
Malawi,19647681,85895,0.437176275
Togo,8478242,37026,0.436717895
Congo,5657017,24079,0.425648358
Guinea-Bissau,2015490,8222,0.407940501
Ethiopia,117876226,471040,0.3996056
Uganda,47123533,164153,0.348346123
Burundi,12255429,41530,0.338870226
Syria,18275704,55872,0.305717361
Cote d'Ivoire,27053629,82008,0.303131236
Central African Republic,4919987,14649,0.297744689
Angola,33933611,99287,0.292591908
Nicaragua,6702379,18491,0.275887114
Guinea,13497237,36661,0.271618554
Eritrea,3601462,9751,0.270751156
Haiti,11541683,30725,0.26620901
Madagascar,28427333,64276,0.226106332
Benin,12451031,26952,0.216464002
Tajikistan,9749625,17786,0.182427529
Somalia,16359500,26518,0.162095419
South Sudan,11381377,17550,0.154199268
Mali,20855724,31023,0.14875053
Liberia,5180208,7452,0.143855227
Sudan,44909351,62195,0.138490089
Nigeria,211400704,255859,0.121030344
Burkina Faso,21497097,20899,0.097217778
Democratic Republic of Congo,92377986,87633,0.09486351
Sierra Leone,8141343,7682,0.094357896
China,1444216102,1161392,0.080416774
Saint Helena,6095,4,0.065627564
Tanzania,61498438,35354,0.057487639
Chad,16914985,7415,0.04383687
Yemen,30490639,11819,0.038762717
Niger,25130810,9013,0.035864343
Marshall Islands,59618,17,0.028514878
Macao,658391,82,0.012454605
Micronesia (country),116255,7,0.006021246
North Korea,25887045,1,3.86294E-06
Niue,1614,0,0
Guam,170184,0,0
United States Virgin Islands,104218,0,0
Jersey,101073,0,0
Nauru,10873,0,0
Western Sahara,611872,0,0
Northern Cyprus,0,0,0
Northern Mariana Islands,57910,0,0
Guernsey,63385,0,0
Tokelau,1368,0,0
Turkmenistan,6117933,0,0
Tuvalu,11925,0,0
Puerto Rico,2828246,0,0
Sint Maarten (Dutch part),43421,0,0
Pitcairn,47,0,0
